#tid	superkingdom	kingdom	phylum	class	order	family	genus	OULU-49	OULU-296	OULU-341	OULU-372	OULU-479	OULU-560	OULU-638	OULU-644	OULU-685	OULU-785	OULU-13	OULU-74	OULU-169	OULU-301	OULU-331	OULU-360	OULU-393	OULU-402	OULU-444	OULU-461	OULU-488	OULU-494	OULU-545	OULU-794	OULU-29	OULU-102	OULU-228	OULU-232	OULU-255	OULU-314	OULU-335	OULU-386	OULU-390	OULU-481	OULU-486	OULU-500	OULU-516	OULU-648	OULU-701	OULU-68	OULU-226	OULU-277	OULU-308	OULU-342	OULU-408	OULU-497	OULU-574	OULU-583	OULU-647	OULU-115	OULU-139	OULU-152	OULU-171	OULU-183	OULU-661	OULU-703	OULU-709	OULU-722	OULU-833	OULU-835	OULU-847	OULU-848	OULU-869	OULU-870	OULU-878	OULU-884	OULU-888	OULU-895
100175	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158561049674149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100883	Bacteria	NA	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	0	0	0	0	0	0	0	0	0	0	0.000135510646385783	0.0103273083667814	0.000199420957220595	0	0	0	0	0.000455612761013332	0.000711574027508996	0.0397745527938574	0	0	0.000133920832987581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103760540592417	0	0.00756793678017275	0	0.00059957338758964	0	0.000435542582767516	0.000947566310791628	0.000396352944902381	0.0013679618873902	0.00198049895185526	0.00218133140836327	0.000124050442860081	0.000180853441640994	0	0.000387272869691964	0.0226874717250746	0.016014406836035	0.000331671412920219	0.000413446933505075	0	0.000558463194409472	0	0.000296693815482467	0	0
1017280	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	NA	Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	0.00201251959971849	0.00192992277608878	0.000395491898361112	0.0015324174475488	0.000575703799645078	0.000433451638447193	0.000919823716087813	0.000505683064439371	0.00057277324189655	0.000930574978576135	0.000885684260141291	0.00190517335526522	0.0022177037941176	0.00229029882625635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155828280908469	0.000848425684452085	0.000615793399179564	0.00161780842878191	0.00044827236239535	0.00111947544065064	0.0016485414408776	0.00190785077935691	0.00295605956911435	0.000493722927776962	0.00110267734383111	0.000282082095869973	0.00026972431558905	0	0.000236041234495656	0	0.000103811975541895	0	0	0.00185997621373689	0.000278055327540076	0.000120380512820985	0.000480538058623244	0.000392542178609092	0.000112660644418886	0.000699974766828161	0.000605277783872301	0.000579975503967533	0.000167790897681303
102106	Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	0	0	0	0	0	0	0	0	0	0	0.0175617637696132	0.00892162906118439	0	0.00302469470001624	0	0.00199654754694973	0.0106624730763912	0.000144370874887502	0.042045437977179	0	0.0243784072601389	0.0303958130746496	0.0464217787434639	0.0488228013234269	0	0.0027145308038326	0.0283617211145223	0	0	0	0	0	0	0	0	0	0.00417436412782466	0	0.00478520885372288	0.0647310520892481	0.0783556549828884	0.0467036578041912	0.000105250548355357	0	0.0344321473402361	0.00474622293878719	0	0.0284786185284547	0	0.0501670941128467	0.000595174422145957	0	0	0.150721758274796	0	0.181766829022756	0.000387181781036193	0	0.00667670999554364	0.000112712159564977	0	0	0	0	0.00238469623978139	0	0.0477327229835411	0.00833190457568948
103807	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Myoviridae	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000150290402778279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1051631	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	NA	0	0	0	0	0	0	0.000216712572378234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368181789363497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1074044	Viruses	NA	ssDNA viruses	NA	NA	Inoviridae	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011088057768781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1082702	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea	0.000625141500339601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1090133	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Podoviridae	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191831108783809	0	0	0	0	0	0	0	0	0.000128630892698395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147043	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	NA	0	0	0	0	0.000230450670611451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130852635943811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147044	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	NA	0	0	0	0	0.000768902237505511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
