#tid	superkingdom	kingdom	phylum	class	order	family	genus	species	OULU-49	OULU-296	OULU-341	OULU-372	OULU-479	OULU-560	OULU-638	OULU-644	OULU-685	OULU-785	OULU-13	OULU-74	OULU-169	OULU-301	OULU-331	OULU-360	OULU-393	OULU-402	OULU-444	OULU-461	OULU-488	OULU-494	OULU-545	OULU-794	OULU-29	OULU-102	OULU-228	OULU-232	OULU-255	OULU-314	OULU-335	OULU-386	OULU-390	OULU-481	OULU-486	OULU-500	OULU-516	OULU-648	OULU-701	OULU-68	OULU-226	OULU-277	OULU-308	OULU-342	OULU-408	OULU-497	OULU-574	OULU-583	OULU-647	OULU-115	OULU-139	OULU-152	OULU-171	OULU-183	OULU-661	OULU-703	OULU-709	OULU-722	OULU-833	OULU-835	OULU-847	OULU-848	OULU-869	OULU-870	OULU-878	OULU-884	OULU-888	OULU-895
100176	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	Papillibacter cinnamivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158561049674149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100886	Bacteria	NA	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	Catenibacterium mitsuokai	0	0	0	0	0	0	0	0	0	0	0.000149660713881605	0.000125640831742306	0	0	0	0	0	0.000121400735688458	0	0	0.000103990500194306	0.000805225644631769	0.000154170958943365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127891051264441	0	0.000122690677252539	0.000204531065606852	0.000117590619702566	0	0.00996489915640014	0.000287411623875675	0	0	0	0	0	0	0	0	0	0	0	0	0.00380666293566185	0	0	0	0	0	0	0	0
102148	Bacteria	NA	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	0	0	0	0	0	0	0	0	0	0	0	0.00111417737585423	0.00146670704019379	0.000302221468796338	0.00780550151631001	0.000392911485205414	0.000201270813134085	0.000173031048568155	0.000526102977742854	0	0.000129770624196702	0.000151641063003852	0.000434292701300603	0.000337352773039794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125571032193884	0.000515753455548152	0.0011815265220264	0.000500992610171499	0.000647763413713191	0.000271161317844005	0.000170751185013224	0.000766774332274978	0.000297881971978655	0.00192272140173791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115111480333637	0	0
102684	Bacteria	NA	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius	0	0	0	0	0	0	0	0	0	0.000394901737567646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133960376428658	0	0.000395331921313138	0	0	0	0	0	0	0	0.000131920883869922	0	0	0	0	0	0	0	0.000102160605812392	0	0	0	0	0.000326581708022333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103216	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Myoviridae	P2virus	Enterobacteria phage WPhi	0	0	0	0	0	0	0	0.000140910580551592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000624898036188746	0	0
1034346	Bacteria	NA	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma fastidiosa	0	0	0	0	0	0	0	0	0	0	0.000100710480388992	0.000107300710330702	0.000104030499346397	0	0	0.00041851158197378	0	0	0.000351621990180465	0.000223551195998899	0	0	0	0.00139806149206546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000343301668446109	0	0.000493792789929264	0	0.000609803616135443	0	0.000551364096635239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103621	Bacteria	NA	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00140237810574545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000464382428720102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103807	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Myoviridae	NA	Enterobacteria phage phiP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000150290402778279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103810	Bacteria	NA	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella columbina	0	0	0	0	0	0	0	0	0.0001744406053089	0	0.000297411418652467	0	0	0.0001397306790911	0	0	0.000223930904680855	0	0.000188431066519837	0	0	0	0	0.000137821132889712	0	0	0	0	0	0.00033048092865141	0	0.000210920679164587	0	0	0	0.000864002756168792	0.000165370955844125	0	0	0.000156491286358374	0	0	0	0.000135650714879268	0.000199640970255115	0.000129470898528036	0	0	0	0	0	0	0.0010180746016972	0.000170550891981165	0	0	0.0017628581091473	0	0.000226874417244905	0	0.000733343124041709	0.000307095149985666	0.000325341805647022	0	0.000325912219462214	0	0	0
1042156	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. SY8519	0	0	0	0	0	0	0	0	0	0	0.000249571190454579	0.000218291445089367	0.000142700684963288	0.000157690766377125	0.000749054943762629	0	0.000166460672501117	0.000136830829194825	0.000120250680618852	0.000153700822299399	0.000178760859839736	0.000716715024172319	0.000672764184593229	0.000260662142642813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000234261925633028	0.000332682228970934	0.000438582420974964	0.000616173210262426	0.000156380824126943	0.000242981180888539	0.000240381668248778	0.000397072243458176	0.000111270736612276	0.000287101702513096	0	0	0.000110471767548281	0	0	0	0	0	0	0	0.00012435238259165	0	0.000236913973047328	0	0	0	0	0.000106491010599691	0.000110990593799677
1049583	Bacteria	NA	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Kocuria indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175412806604906	0	0	0	0	0	0	0	0.000109542098826614	0.0275583373985173	0	0	0	0	0	0	0
1050843	Bacteria	NA	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	[Propionibacterium] humerusii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346824460162558	0	0
1051631	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	NA	Streptococcus phage YMC-2011	0	0	0	0	0	0	0.000216712572378234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368181789363497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105219	Bacteria	NA	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia mannitolilytica	0	0	0	0	0	0	0	0	0.000115120399467786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125660610710568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105841	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	0	0	0	0	0	0	0	0	0	0	0.000140550670426698	0	0	0	0	0	0	0	0	0.000320981717252187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142980744929681	0	0.00201820980849967	0.000105590732799686	0.00047677269376572	0	0.000143370850189142	0	0	0.00188346013536217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
